"PORT","TONNAGETYPE","YEAR","TONNE"
"PORT DICKSON","TRANS-SHIPMENT","2013",0
"KEMAMAN","EXPORT","2013",2506
"KEMAMAN","IMPORT","2013",1853
"KEMAMAN","TRANS-SHIPMENT","2013",0
"TELUK EWA","EXPORT","2013",3473
"TELUK EWA","IMPORT","2013",706
"TELUK EWA","TRANS-SHIPMENT","2013",0
"TANJUNG PELEPAS","EXPORT","2013",5178
"TANJUNG PELEPAS","IMPORT","2013",1584
"TANJUNG PELEPAS","TRANS-SHIPMENT","2013",113286
"KELANG","EXPORT","2014",95559
"KELANG","IMPORT","2014",121730
"KELANG","TRANS-SHIPMENT","2014",0
"PULAU PINANG","EXPORT","2014",12865
"PULAU PINANG","IMPORT","2014",16421
"PULAU PINANG","TRANS-SHIPMENT","2014",761
"JOHOR","EXPORT","2014",10728
"JOHOR","IMPORT","2014",16575
"JOHOR","TRANS-SHIPMENT","2014",0
"KUANTAN","EXPORT","2014",17001
"KUANTAN","IMPORT","2014",4365
"KUANTAN","TRANS-SHIPMENT","2014",0
"BINTULU","EXPORT","2014",38148
"BINTULU","IMPORT","2014",5643
"BINTULU","TRANS-SHIPMENT","2014",1602
"TANJUNG BRUAS","EXPORT","2014",144
"TANJUNG BRUAS","IMPORT","2014",299
"TANJUNG BRUAS","TRANS-SHIPMENT","2014",0
"KUCHING","EXPORT","2014",2283
"KUCHING","IMPORT","2014",6851
"KUCHING","TRANS-SHIPMENT","2014",0
"MIRI","EXPORT","2014",5226
"MIRI","IMPORT","2014",697
"MIRI","TRANS-SHIPMENT","2014",0
"RAJANG","EXPORT","2014",445
"RAJANG","IMPORT","2014",1309
"RAJANG","TRANS-SHIPMENT","2014",0
"SABAH","EXPORT","2014",14308
"SABAH","IMPORT","2014",14064
"SABAH","TRANS-SHIPMENT","2014",0
"PORT DICKSON","EXPORT","2014",2470
"PORT DICKSON","IMPORT","2014",9542
"PORT DICKSON","TRANS-SHIPMENT","2014",0
"KEMAMAN","EXPORT","2014",2655
"KEMAMAN","IMPORT","2014",2208
"KEMAMAN","TRANS-SHIPMENT","2014",0
"TELUK EWA","EXPORT","2014",3059
"TELUK EWA","IMPORT","2014",717
"TELUK EWA","TRANS-SHIPMENT","2014",0
"TANJUNG PELEPAS","EXPORT","2014",5393
"TANJUNG PELEPAS","IMPORT","2014",1823
"TANJUNG PELEPAS","TRANS-SHIPMENT","2014",124314
